Number of Reads,93328823
Reads With Valid Barcodes,1
Sequencing Saturation,0.447007
Q30 Bases in CB+UMI,-nan
Q30 Bases in RNA read,0.930137
Reads Mapped to Genome: Unique+Multiple,0.993695
Reads Mapped to Genome: Unique,0.969562
Reads Mapped to Gene: Unique+Multiple Gene,0.0410663
Reads Mapped to Gene: Unique Gene,0.0401627
Estimated Number of Cells,4120
Unique Reads in Cells Mapped to Gene,3427718
Fraction of Unique Reads in Cells,0.914463
Mean Reads per Cell,831
Median Reads per Cell,737
UMIs in Cells,1879240
Mean UMI per Cell,456
Median UMI per Cell,405
Mean Gene per Cell,189
Median Gene per Cell,184
Total Gene Detected,1263
